Caustic_D,Caustic_H,Caustic_D,Caustic_Measured_H,NonCaustic_D,NonCaustic_H,NonCaustic_D,NonCaustic_Measured_H ,Caustic_FSCA_D,Caustic_FSCA_H,NonCaustic_FSCA_D,NonCaustic_FSCA_H
day,m,1.5883379,0.99609834,day,m,1.7679558,0.95929205,0.100000145,0.999881401,0.100000145,0.9997561
0,1,20.15226,0.9511923,0,1,12.817679,0.87345135,0.199999925,0.999761179,0.199999925,0.999505081
1,0.9992,28.939873,0.93948734,1,0.9984,28.287292,0.82566375,0.30000007,0.999639998,0.30000007,0.999250699
2,0.9985,51.394333,0.91413486,2,0.9968,45.082874,0.75663716,0.39999985,0.999518187,0.39999985,0.998994327
3,0.9977,104.108116,0.86344904,3,0.9951,95.027626,0.65486723,0.499999995,0.99939593,0.499999995,0.99873662
4,0.9969,171.46674,0.79520935,4,0.9934,168.83978,0.5955752,0.60000014,0.999273338,0.60000014,0.998477939
5,0.9961,248.58023,0.7289478,5,0.9916,229.83426,0.57699114,0.69999992,0.999150486,0.69999992,0.99821851
6,0.9953,338.37308,0.66858053,6,0.9898,327.07184,0.5610619,0.800000065,0.999027425,0.800000065,0.997958482
7,0.9945,464.25986,0.61416465,7,0.988,448.61877,0.5495575,0.899999845,0.998904189,0.899999845,0.997697962
8,0.9937,582.32513,0.5870914,8,0.9861,,,0.99999999,0.998780807,0.99999999,0.997437029
9,0.9928,637.9455,0.5696376,9,0.9842,,,1.100000135,0.9986573,1.100000135,0.997175742
10,0.992,,,10,0.9822,,,1.199999915,0.998533682,1.199999915,0.996914148
11,0.9912,,,11,0.9802,,,1.30000006,0.998409968,1.30000006,0.996652284
12,0.9903,,,12,0.9782,,,1.39999984,0.998286169,1.39999984,0.996390182
13,0.9894,,,13,0.9761,,,1.499999985,0.998162292,1.499999985,0.996127866
14,0.9886,,,14,0.974,,,1.60000013,0.998038347,1.60000013,0.995865357
15,0.9877,,,15,0.9718,,,1.69999991,0.997914338,1.69999991,0.995602674
16,0.9868,,,16,0.9696,,,1.800000055,0.997790271,1.800000055,0.995339831
17,0.9859,,,17,0.9674,,,1.899999835,0.997666152,1.899999835,0.995076843
18,0.985,,,18,0.9651,,,1.99999998,0.997541984,1.99999998,0.99481372
19,0.9841,,,19,0.9628,,,2.100000125,0.997417771,2.100000125,0.994550473
20,0.9832,,,20,0.9605,,,2.199999905,0.997293516,2.199999905,0.994287111
21,0.9822,,,21,0.9581,,,2.30000005,0.997169222,2.30000005,0.994023641
22,0.9813,,,22,0.9557,,,2.39999983,0.997044891,2.39999983,0.993760071
23,0.9803,,,23,0.9533,,,2.499999975,0.996920526,2.499999975,0.993496407
24,0.9794,,,24,0.9509,,,2.60000012,0.996796129,2.60000012,0.993232655
25,0.9784,,,25,0.9484,,,2.6999999,0.996671702,2.6999999,0.99296882
26,0.9774,,,26,0.9459,,,2.800000045,0.996547245,2.800000045,0.992704906
27,0.9765,,,27,0.9434,,,2.899999825,0.996422762,2.899999825,0.992440919
28,0.9755,,,28,0.9408,,,2.99999997,0.996298253,2.99999997,0.992176861
29,0.9745,,,29,0.9382,,,3.100000115,0.99617372,3.100000115,0.991912737
30,0.9735,,,30,0.9356,,,3.199999895,0.996049163,3.199999895,0.991648549
31,0.9724,,,31,0.933,,,3.30000004,0.995924585,3.30000004,0.991384301
32,0.9714,,,32,0.9303,,,3.39999982,0.995799985,3.39999982,0.991119996
33,0.9704,,,33,0.9277,,,3.499999965,0.995675365,3.499999965,0.990855636
34,0.9693,,,34,0.925,,,3.60000011,0.995550726,3.60000011,0.990591223
35,0.9683,,,35,0.9223,,,3.69999989,0.995426068,3.69999989,0.99032676
36,0.9672,,,36,0.9195,,,3.800000035,0.995301393,3.800000035,0.99006225
37,0.9662,,,37,0.9168,,,3.90000018,0.995176701,3.90000018,0.989797693
38,0.9651,,,38,0.914,,,3.99999996,0.995051992,3.99999996,0.989533092
39,0.964,,,39,0.9113,,,4.100000105,0.994927268,4.100000105,0.989268448
40,0.963,,,40,0.9085,,,4.199999885,0.994802529,4.199999885,0.989003764
41,0.9619,,,41,0.9057,,,4.30000003,0.994677775,4.30000003,0.98873904
42,0.9608,,,42,0.9028,,,4.400000175,0.994553007,4.400000175,0.988474277
43,0.9597,,,43,0.9,,,4.499999955,0.994428226,4.499999955,0.988209479
44,0.9586,,,44,0.8971,,,4.6000001,0.994303431,4.6000001,0.987944645
45,0.9575,,,45,0.8943,,,4.69999988,0.994178624,4.69999988,0.987679776
46,0.9563,,,46,0.8914,,,4.800000025,0.994053805,4.800000025,0.987414875
47,0.9552,,,47,0.8883,,,4.90000017,0.993928973,4.90000017,0.987149942
48,0.9541,,,48,0.8847,,,4.99999995,0.993804131,4.99999995,0.986884977
49,0.9529,,,49,0.8811,,,5.100000095,0.993679277,5.100000095,0.986619983
50,0.9518,,,50,0.8775,,,5.199999875,0.993554413,5.199999875,0.986354959
51,0.9506,,,51,0.874,,,5.30000002,0.993429538,5.30000002,0.986089908
52,0.9495,,,52,0.8705,,,5.400000165,0.993304653,5.400000165,0.985824829
53,0.9483,,,53,0.867,,,5.499999945,0.993179758,5.499999945,0.985559723
54,0.9472,,,54,0.8636,,,5.60000009,0.993054853,5.60000009,0.985294592
