Caustic_D,Caustic_H
day,m
0,1
1,0.9992
2,0.9985
3,0.9977
4,0.9969
5,0.9961
6,0.9953
7,0.9945
8,0.9937
9,0.9928
10,0.992
11,0.9912
12,0.9903
13,0.9894
14,0.9886
15,0.9877
16,0.9868
17,0.9859
18,0.985
19,0.9841
20,0.9832
21,0.9822
22,0.9813
23,0.9803
24,0.9794
25,0.9784
26,0.9774
27,0.9765
28,0.9755
29,0.9745
30,0.9735
31,0.9724
32,0.9714
33,0.9704
34,0.9693
35,0.9683
36,0.9672
37,0.9662
38,0.9651
39,0.964
40,0.963
41,0.9619
42,0.9608
43,0.9597
44,0.9586
45,0.9575
46,0.9563
47,0.9552
48,0.9541
49,0.9529
50,0.9518
51,0.9506
52,0.9495
53,0.9483
54,0.9472
55,0.946
56,0.9448
57,0.9436
58,0.9424
59,0.9412
60,0.94
61,0.9388
62,0.9376
63,0.9364
64,0.9352
65,0.934
66,0.9328
67,0.9315
68,0.9303
69,0.9291
70,0.9278
71,0.9266
72,0.9253
73,0.9241
74,0.9228
75,0.9215
76,0.9203
77,0.919
78,0.9177
79,0.9164
80,0.9152
81,0.9139
82,0.9126
83,0.9113
84,0.91
85,0.9087
86,0.9074
87,0.9061
88,0.9048
89,0.9035
90,0.9022
91,0.9009
92,0.8996
93,0.8982
94,0.8969
95,0.8956
96,0.8943
97,0.8929
98,0.8916
99,0.8903
100,0.8889
101,0.8876
102,0.8862
103,0.8848
104,0.8831
105,0.8815
106,0.8798
107,0.8782
108,0.8765
109,0.8749
110,0.8732
111,0.8716
112,0.87
113,0.8684
114,0.8668
115,0.8651
116,0.8635
117,0.8619
118,0.8604
119,0.8588
120,0.8572
121,0.8556
122,0.8541
123,0.8525
124,0.851
125,0.8494
126,0.8479
127,0.8464
128,0.8449
129,0.8434
130,0.8418
131,0.8404
132,0.8389
133,0.8374
134,0.8359
135,0.8344
136,0.8329
137,0.8315
138,0.83
139,0.8286
140,0.8271
141,0.8257
142,0.8243
143,0.8229
144,0.8215
145,0.8202
146,0.8188
147,0.8175
148,0.8161
149,0.8148
150,0.8135
151,0.8121
152,0.8108
153,0.8095
154,0.8082
155,0.8069
156,0.8056
157,0.8043
158,0.803
159,0.8017
160,0.8004
161,0.7991
162,0.7978
163,0.7965
164,0.7952
165,0.7939
166,0.7927
167,0.7914
168,0.7901
169,0.7888
170,0.7876
171,0.7863
172,0.7851
173,0.7838
174,0.7825
175,0.7813
176,0.7801
177,0.7788
178,0.7776
179,0.7763
180,0.7751
181,0.7739
182,0.7726
183,0.7714
184,0.7702
185,0.769
186,0.7677
187,0.7665
188,0.7653
189,0.7641
190,0.7629
191,0.7617
192,0.7605
193,0.7593
194,0.7581
195,0.7569
196,0.7558
197,0.7546
198,0.7534
199,0.7522
200,0.7511
201,0.7499
202,0.7487
203,0.7476
204,0.7464
205,0.7453
206,0.7441
207,0.743
208,0.7418
209,0.7407
210,0.7395
211,0.7384
212,0.7373
213,0.7362
214,0.735
215,0.7339
216,0.7328
217,0.7317
218,0.7306
219,0.7295
220,0.7284
221,0.7273
222,0.7262
223,0.7251
224,0.724
225,0.723
226,0.7219
227,0.7208
228,0.7198
229,0.7187
230,0.7176
231,0.7166
232,0.7155
233,0.7145
234,0.7135
235,0.7124
236,0.7114
237,0.7104
238,0.7093
239,0.7083
240,0.7073
241,0.7063
242,0.7053
243,0.7043
244,0.7033
245,0.7023
246,0.7013
247,0.7003
248,0.6994
249,0.6984
250,0.6974
251,0.6965
252,0.6955
253,0.6945
254,0.6936
255,0.6926
256,0.6917
257,0.6908
258,0.6898
259,0.6889
260,0.688
261,0.6871
262,0.6861
263,0.6852
264,0.6843
265,0.6834
266,0.6825
267,0.6816
268,0.6807
269,0.6798
270,0.6789
271,0.6781
272,0.6772
273,0.6763
274,0.6754
275,0.6746
276,0.6737
277,0.6728
278,0.672
279,0.6711
280,0.6703
281,0.6695
282,0.6686
283,0.6678
284,0.667
285,0.6661
286,0.6653
287,0.6645
288,0.6637
289,0.6629
290,0.6621
291,0.6613
292,0.6605
293,0.6597
294,0.6589
295,0.6581
296,0.6573
297,0.6565
298,0.6558
299,0.655
300,0.6542
301,0.6535
302,0.6527
303,0.6519
304,0.6512
305,0.6505
306,0.6497
307,0.649
308,0.6482
309,0.6475
310,0.6468
311,0.6461
312,0.6453
313,0.6446
314,0.6439
315,0.6432
316,0.6425
317,0.6418
318,0.6411
319,0.6404
320,0.6397
321,0.639
322,0.6383
323,0.6377
324,0.637
325,0.6363
326,0.6356
327,0.635
328,0.6343
329,0.6337
330,0.633
331,0.6324
332,0.6317
333,0.6311
334,0.6304
335,0.6298
336,0.6292
337,0.6285
338,0.6279
339,0.6273
340,0.6267
341,0.626
342,0.6254
343,0.6248
344,0.6242
345,0.6236
346,0.623
347,0.6224
348,0.6218
349,0.6212
350,0.6206
351,0.62
352,0.6195
353,0.6189
354,0.6183
355,0.6177
356,0.6172
357,0.6166
358,0.616
359,0.6155
360,0.6149
361,0.6143
362,0.6138
363,0.6132
364,0.6127
365,0.6121
366,0.6116
367,0.6111
368,0.6105
369,0.61
370,0.6095
371,0.6089
372,0.6084
373,0.6079
374,0.6074
375,0.6069
376,0.6063
377,0.6058
378,0.6053
379,0.6048
380,0.6043
381,0.6038
382,0.6033
383,0.6028
384,0.6023
385,0.6018
386,0.6013
387,0.6008
388,0.6004
389,0.5999
390,0.5994
391,0.5989
392,0.5984
393,0.598
394,0.5975
395,0.597
396,0.5966
397,0.5961
398,0.5956
399,0.5952
400,0.5947
401,0.5943
402,0.5938
403,0.5934
404,0.5929
405,0.5925
406,0.592
407,0.5916
408,0.5912
409,0.5907
410,0.5903
411,0.5899
412,0.5894
413,0.589
414,0.5886
415,0.5882
416,0.5877
417,0.5873
418,0.5869
419,0.5865
420,0.5861
421,0.5857
422,0.5852
423,0.5848
424,0.5844
425,0.584
426,0.5836
427,0.5832
428,0.5828
429,0.5824
430,0.582
431,0.5816
432,0.5813
433,0.5809
434,0.5805
435,0.5801
436,0.5797
437,0.5793
438,0.5789
439,0.5786
440,0.5782
441,0.5778
442,0.5774
443,0.5771
444,0.5767
445,0.5763
446,0.576
447,0.5756
448,0.5752
449,0.5749
450,0.5745
451,0.5742
452,0.5738
453,0.5735
454,0.5731
455,0.5728
456,0.5724
457,0.5721
458,0.5717
459,0.5714
460,0.571
461,0.5707
462,0.5703
463,0.57
464,0.5697
465,0.5693
466,0.569
467,0.5687
468,0.5683
469,0.568
470,0.5677
471,0.5674
472,0.567
473,0.5667
474,0.5664
475,0.5661
476,0.5658
477,0.5654
478,0.5651
479,0.5648
480,0.5645
481,0.5642
482,0.5639
483,0.5636
484,0.5633
485,0.5629
486,0.5626
487,0.5623
488,0.562
489,0.5617
490,0.5614
491,0.5611
492,0.5608
493,0.5605
494,0.5602
495,0.56
496,0.5597
497,0.5594
498,0.5591
499,0.5588
500,0.5585
501,0.5582
502,0.5579
503,0.5577
504,0.5574
505,0.5571
506,0.5568
507,0.5565
508,0.5563
509,0.556
510,0.5557
511,0.5554
512,0.5552
513,0.5549
514,0.5546
515,0.5543
516,0.5541
517,0.5538
518,0.5535
519,0.5533
520,0.553
521,0.5528
522,0.5525
523,0.5522
524,0.552
525,0.5517
526,0.5515
527,0.5512
528,0.5509
529,0.5507
530,0.5504
531,0.5502
532,0.5499
533,0.5497
534,0.5494
535,0.5492
536,0.5489
537,0.5487
538,0.5484
539,0.5482
540,0.548
541,0.5477
542,0.5475
543,0.5472
544,0.547
545,0.5468
546,0.5465
547,0.5463
548,0.546
549,0.5458
550,0.5456
551,0.5453
552,0.5451
553,0.5449
554,0.5447
555,0.5444
556,0.5442
557,0.544
558,0.5437
559,0.5435
560,0.5433
561,0.5431
562,0.5428
563,0.5426
564,0.5424
565,0.5422
566,0.542
567,0.5417
568,0.5415
569,0.5413
570,0.5411
571,0.5409
572,0.5407
573,0.5404
574,0.5402
575,0.54
576,0.5398
577,0.5396
578,0.5394
579,0.5392
580,0.539
581,0.5388
582,0.5385
583,0.5383
584,0.5381
585,0.5379
586,0.5377
587,0.5375
588,0.5373
589,0.5371
590,0.5369
591,0.5367
592,0.5365
593,0.5363
594,0.5361
595,0.5359
596,0.5357
597,0.5355
598,0.5353
599,0.5351
600,0.5349
601,0.5347
602,0.5346
603,0.5344
604,0.5342
605,0.534
606,0.5338
607,0.5336
608,0.5334
609,0.5332
610,0.533
611,0.5328
612,0.5327
613,0.5325
614,0.5323
615,0.5321
616,0.5319
617,0.5317
618,0.5316
619,0.5314
620,0.5312
621,0.531
622,0.5308
623,0.5307
624,0.5305
625,0.5303
626,0.5301
627,0.5299
628,0.5298
629,0.5296
630,0.5294
631,0.5292
632,0.5291
633,0.5289
634,0.5287
635,0.5285
636,0.5284
637,0.5282
638,0.528
639,0.5279
640,0.5277
641,0.5275
642,0.5274
643,0.5272
644,0.527
645,0.5269
646,0.5267
647,0.5265
648,0.5264
649,0.5262
650,0.526
651,0.5259
652,0.5257
653,0.5255
654,0.5254
655,0.5252
656,0.5251
657,0.5249
658,0.5247
659,0.5246
660,0.5244
661,0.5243
662,0.5241
663,0.5239
664,0.5238
665,0.5236
666,0.5235
667,0.5233
668,0.5232
669,0.523
670,0.5229
671,0.5227
672,0.5225
673,0.5224
674,0.5222
675,0.5221
676,0.5219
677,0.5218
678,0.5216
679,0.5215
680,0.5213
681,0.5212
682,0.521
683,0.5209
684,0.5208
685,0.5206
686,0.5205
687,0.5203
688,0.5202
689,0.52
690,0.5199
691,0.5197
692,0.5196
693,0.5194
694,0.5193
695,0.5192
696,0.519
697,0.5189
698,0.5187
699,0.5186
700,0.5185
701,0.5183
702,0.5182
703,0.518
704,0.5179
705,0.5178
706,0.5176
707,0.5175
708,0.5173
709,0.5172
710,0.5171
711,0.5169
712,0.5168
713,0.5167
714,0.5165
715,0.5164
716,0.5163
717,0.5161
718,0.516
719,0.5159
720,0.5157
721,0.5156
722,0.5155
723,0.5153
724,0.5152
725,0.5151
726,0.5149
727,0.5148
728,0.5147
729,0.5146
730,0.5144
731,0.5143
732,0.5142
733,0.514
734,0.5139
735,0.5138
736,0.5137
737,0.5135
738,0.5134
739,0.5133
740,0.5132
741,0.513
742,0.5129
743,0.5128
744,0.5127
745,0.5125
746,0.5124
747,0.5123
748,0.5122
749,0.5121
750,0.5119
