Depth,SC50,SC60,SC65
8.333,0.01162,0.02302,0.002937
25,0.2194,0.2209,0.01392
41.67,0.6334,0.6302,0.006517
58.33,0.9654,0.9646,0.09544
75,0.9712,0.9712,0.2975
91.67,0.9712,0.9712,0.7313
108.3,0.9712,0.9712,0.9712
125,0.9712,0.9712,0.9712
141.7,0.9712,0.9712,0.9712
158.3,0.9712,0.9712,0.9712
175,0.9712,0.9712,0.9712
191.7,0.9712,0.9712,0.9712
208.3,0.9712,0.9712,0.9712
225,0.9712,0.9712,0.9712
241.7,0.9712,0.9712,0.9712
258.3,0.9712,0.9712,0.9712
275,0.9712,0.9712,0.9712
291.7,0.9712,0.9712,0.9712
