Days,SC50,SC60,SC65
0,181.6,181.6,181.6
1,183.1,182.9,182.8
2,185.1,184.4,184.2
3,187.1,185.9,185.5
4,189.1,187.4,186.9
5,191.1,188.8,188.3
6,193.1,190.3,189.6
7,195.1,191.8,191
8,197.1,193.3,192.3
9,199.1,194.8,193.7
10,201.1,196.3,195
11,203.1,197.8,196.4
12,205.1,199.2,197.8
13,207.1,200.7,199.1
14,209.1,202.2,200.5
15,211.1,203.7,201.8
16,213.1,205.2,203.2
17,215.0,206.7,204.5
18,217.0,208.2,205.9
19,219.0,209.6,207.3
20,221.0,211.1,208.6
21,223.0,212.6,210
22,225.0,214.1,211.3
23,227.0,215.6,212.7
24,229.0,217.1,214
25,231.0,218.6,215.4
26,233.0,220,216.8
27,235.0,221.5,218.1
28,237.0,223,219.5
29,239.0,224.5,220.8
30,241.0,226,222.2
31,242.9,227.4,223.4
32,244.6,228.6,224.5
33,246.4,229.9,225.7
34,248.1,231.1,226.8
35,249.9,232.3,227.9
36,251.6,233.6,229
37,253.4,234.8,230.1
38,255.1,236.1,231.3
39,256.9,237.3,232.4
40,258.7,238.6,233.5
41,260.4,239.8,234.6
42,262.2,241.1,235.7
43,263.9,242.3,236.9
44,265.7,243.6,238
45,267.4,244.8,239.1
46,269.2,246.1,240.2
47,271.0,247.3,241.3
48,272.7,248.6,242.5
49,274.5,249.8,243.6
50,276.2,251.1,244.7
51,278.0,252.3,245.8
52,279.7,253.6,246.9
53,281.5,254.8,248.1
54,283.3,256.1,249.2
55,285.0,257.3,250.3
56,286.8,258.6,251.4
57,288.5,259.8,252.5
58,290.3,261.1,253.6
59,291.8,262.1,254.5
60,293.1,262.8,255.2
61,294.4,263.6,255.8
62,295.6,264.4,256.5
63,296.9,265.2,257.1
64,298.2,265.9,257.8
65,299.5,266.7,258.4
66,300.8,267.5,259
67,302.1,268.3,259.7
68,303.3,269,260.3
69,304.6,269.8,261
70,305.9,270.6,261.6
71,307.2,271.4,262.3
