TMSim_D,TMSim_H,,FSCA_Year,FSCA_D,FSCA_H,,Uconn_D,U-Conn_H,BCI_D,BCI_H,WES_D,WES_H,UF_D,UF_H
days,m,,0.005479452,1.99999998,9.58624302,,10.16607,9.476415,36.494865,9.6603775,104.71976,8.740566,366.1528,6.8301888
0,9.6,,0.010958904,3.99999996,9.571397988,,26.600677,9.490566,76.328995,9.306603,202.37257,7.9905663,775.9659,5.5849056
1,9.594,,0.016438356,5.99999994,9.55621471,,51.406227,9.377358,113.33482,9.122642,406.85724,6.6179247,1137.0878,5.033019
2,9.588,,0.021917808,7.99999992,9.540851058,,113.33482,8.966981,194.52896,8.754717,817.96075,5.4292455,3054.7703,4.283019
3,9.583,,0.02739726,9.9999999,9.525371703,,256.5405,8.117925,266.8845,8.386792,1246.9563,5.033019,,
4,9.577,,0.032876712,11.99999988,9.509810493,,366.1528,7.3962264,380.91647,7.764151,1644.4584,4.75,,
5,9.571,,0.038356164,13.99999986,9.494187699,,543.671,6.3773584,786.25806,6.1509433,2197.44,4.4528303,,
6,9.565,,0.043835616,15.99999984,9.478516561,,645.25024,5.966981,1122.2032,5.216981,2608.0085,4.3537736,,
7,9.559,,0.049315068,17.99999982,9.46280627,,862.2284,5.4009433,1499.5663,4.8490567,3722.335,4.254717,,
8,9.553,,0.054794521,20.00000017,9.4470635,,1499.5663,4.764151,1851.5056,4.6792455,,,,
9,9.547,,0.060273973,22.00000015,9.431293276,,3220.0928,4.2971697,2316.3643,4.523585,,,,
10,9.541,,0.065753425,24.00000013,9.415499482,,,,2936.3726,4.3962264,,,,
11,9.535,,0.071232877,26.00000011,9.399685197,,,,,,,,,
12,9.529,,0.076712329,28.00000009,9.383852903,,,,,,,,,
13,9.523,,0.082191781,30.00000007,9.368004637,,,,,,,,,
14,9.517,,0.087671233,32.00000005,9.352142092,,,,,,,,,
15,9.511,,0.093150685,34.00000003,9.336266694,,,,,,,,,
16,9.505,,0.098630137,36.00000001,9.320379654,,,,,,,,,
17,9.499,,0.104109589,37.99999999,9.304482014,,,,,,,,,
18,9.493,,0.109589041,39.99999997,9.288574674,,,,,,,,,
19,9.487,,0.115068493,41.99999995,9.272658421,,,,,,,,,
